Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:09wQdd0JQbkp9yKfRfwhjG,Got Ur Self A Gun,Stillmatic,Nas,2001-12-18,228626,54,TRUE,m-airon,2022-03-27T20:32:18Z,"old school hiphop,east coast hiphop,hiphop",Columbia,0.699,0.869,11,-4.263,0,0.238,0.0118,0,0.0982,0.616,93.612,4,east
spotify:track:53duuSwaLOZuIrELvZXqLH,Going Back to Cali - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,307426,62,TRUE,m-airon,2025-09-17T05:26:03Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Rhino Atlantic,0.851,0.647,9,-5.847,1,0.339,0.207,0,0.0447,0.596,99.17,4,east
spotify:track:5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,302760,76,TRUE,warriorkid3000,2023-01-12T05:56:28Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4,east
spotify:track:355RUwXtdecClzxv1zU98n,Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,286000,57,FALSE,warriorkid3000,2021-10-01T19:22:56Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.902,0.756,9,-4.547,1,0.28,0.417,0,0.0591,0.598,97.434,4,east
spotify:track:71hXKEDaKHgYrn7kdLFpOx,Dynamite!,Things Fall Apart,The Roots;Rehani Sayed,1999-02-23,285706,46,TRUE,m-airon,2022-03-27T20:53:18Z,"east coast hiphop,jazz rap,hiphop",Geffen,0.887,0.456,8,-7.956,0,0.298,0.0303,0,0.159,0.643,94.047,4,east
spotify:track:2io3tr0HmXMIGY06xnWb0J,"No Endz, No Skinz",Lifestylez Ov Da Poor & Dangerous,Big L,1995-03-28,208733,49,TRUE,m-airon,2024-11-11T18:38:16Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop",Columbia,0.938,0.773,1,-6.804,1,0.231,0.0589,7.61e-4,0.182,0.716,100.305,4,east
spotify:track:63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-02,249866,72,TRUE,m-airon,2024-10-12T17:24:13Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,4,east
spotify:track:3tHbqNaaXituiTZjGRx5UV,Made You Look (feat. Jadakiss & Ludacris) - Remix,Made You Look (Remix) (feat. Jadakiss & Ludacris),Nas;Jadakiss;Ludacris,2002-09-10,211906,43,TRUE,m-airon,2024-11-11T12:21:41Z,"old school hiphop,east coast hiphop,hiphop,dirty south rap",Columbia/Legacy,0.602,0.941,1,-3.451,1,0.327,0.362,0,0.695,0.695,95.789,4,east
spotify:track:5LN1B9uVAVleCZ2euGarvi,MVP,Lifestylez Ov Da Poor & Dangerous,Big L,1995-03-28,218866,58,FALSE,m-airon,2024-11-11T18:36:55Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop",Columbia,0.857,0.672,10,-5.934,0,0.16,0.0649,0,0.355,0.671,86.777,4,east
spotify:track:7bJ6lqDOQnfHq0V1o8TixL,How To Rob,Best Of 50 Cent,50 Cent;The Madd Rapper,2017-03-31,264320,48,TRUE,m-airon,2024-10-16T20:55:59Z,"old school hiphop,east coast hiphop",Aftermath/Shady,0.774,0.676,6,-8.476,0,0.304,0.0575,0,0.169,0.791,96.98,4,east
